i s
0 663
1 683
1 716
2 657
2 688
3 745
3 774
3 787
4 701
7 677
7 710
8 640
8 707
9 699
9 982
10 793
11 1055
11 743
12 854
13 707
13 708
13 759
14 742
14 753
15 717
15 719
15 732
15 760
15 767
15 978
16 804
17 775
18 725
18 739
18 741
18 941
19 855
21 831
21 890
22 777
23 798
23 810
24 849
25 824
25 832
26 791
27 1237
28 873
29 790
31 862
31 862
32 1089
32 970
33 1044
33 956
34 936
34 993
35 1014
35 856
35 859
35 872
35 878
35 883
36 996
37 929
38 895
39 831
39 925
40 929
40 930
40 946
41 1039
41 912
43 893
43 914
43 930
44 928
46 919
47 1025
47 935
47 943
49 1117
49 980
49 980
50 932
52 945
52 966
53 1126
54 1004
54 940
55 1031
55 996
56 999
56 999
57 1065
57 939
57 960
57 969
58 993
59 1031
59 1041
60 1000
60 1013
60 1018
60 1030
60 1073
61 1036
62 1135
63 1071
64 1064
64 1073
64 1084
65 1180
67 1101
68 1031
68 1071
68 1078
68 1089
69 1099
69 1102
70 1496
71 1101
72 1110
72 1488
73 1098
75 1138
76 1129
77 1079
77 1109
78 1110
78 1142
78 1144
79 1139
80 1169
80 1174
81 1131
81 1149
82 1229
83 1192
83 1225
83 1228
84 1176
85 1159
85 1198
85 1540
86 1109
86 1163
88 1204
88 1229
89 1237
90 1216
91 1176
92 1169
92 1345
93 1173
93 1234
94 1285
95 1216
95 1256
95 1333
96 1319
97 1264
98 1496
99 1313
102 1387
103 1221
103 1380
103 1399
104 1277
104 1292
104 1329
104 1346
106 1266
106 1357
107 1335
108 1271
108 1301
108 1341
108 1381
110 1340
111 1336
113 1433
113 1445
114 1485
114 1535
114 1655
115 1371
115 1491
115 1583
116 1551
116 1585
117 1415
117 1455
118 1557
118 1592
119 1486
119 1541
119 1603
120 1455
120 1493
120 1513
121 1519
121 1564
122 1689
124 1502
124 1617
125 1583
126 1652
126 1974
126 2186
127 1493
127 1816
128 1560
128 1595
128 1709
129 1702
129 1874
131 1647
131 1921
132 1687
133 1758
133 1798
134 1619
136 1629
136 1721
137 1643
137 1711
137 1773
137 1794
137 1829
138 1653
139 1733
139 1904
141 1672
141 1675
141 1675
143 1697
143 1753
144 2047
145 1768
145 1930
145 2390
146 1946
146 2079
147 2114
147 2129
148 1911
149 1897
149 2065
149 2122
