i s
0 575
0 624
1 621
2 604
2 618
3 731
4 613
4 966
5 617
5 626
7 664
7 709
8 639
8 648
8 699
9 636
9 658
9 664
9 673
9 705
9 718
10 671
10 705
10 736
10 980
11 641
11 649
11 665
12 626
12 639
12 672
14 684
14 701
15 746
16 668
16 676
16 680
16 684
17 688
17 699
19 751
20 738
21 766
21 773
21 870
22 902
23 714
23 726
23 733
23 742
23 753
24 738
24 762
24 854
26 958
27 773
27 777
28 835
29 755
30 827
31 780
32 862
32 871
34 870
35 777
36 847
36 861
36 900
37 801
37 812
38 826
38 905
39 796
39 801
39 832
40 884
41 1286
41 886
42 825
43 882
44 867
45 920
46 876
47 851
47 929
48 902
49 838
49 877
50 859
51 880
52 846
52 881
53 909
53 959
55 886
55 893
56 934
57 892
57 899
57 953
59 889
59 891
59 900
60 1480
60 932
60 937
60 961
61 949
61 971
61 994
62 970
63 986
64 1005
64 953
65 979
65 985
66 916
66 918
66 951
66 953
66 956
66 957
67 1006
68 941
68 957
68 967
69 951
69 970
70 1458
70 981
71 1029
71 1073
71 972
72 944
72 965
73 1043
73 1052
74 1019
74 1060
74 993
74 995
75 1001
75 1029
75 1045
76 1010
76 1012
78 1178
79 1037
79 1108
80 1088
82 1430
83 1159
84 1045
86 1057
87 1125
89 1071
89 1111
89 1114
90 1122
90 1134
91 1079
91 1106
91 1115
94 1141
95 1103
95 1107
95 1175
96 1135
97 1117
97 1143
98 1206
99 1150
99 1175
101 1150
101 1168
102 1136
103 1109
103 1142
103 1163
104 1154
104 1155
104 1161
104 1176
104 1187
106 1179
106 1186
106 1220
107 1236
108 1161
109 1277
109 1279
110 1226
111 1253
112 1346
112 1369
112 1386
112 1426
114 1347
114 1381
116 1378
116 1384
117 1355
118 1539
119 1456
121 1631
124 1432
124 1525
124 1621
125 1414
126 1367
126 1426
126 1583
126 1835
128 1411
128 1413
128 1584
128 1698
129 1445
130 1429
131 1568
132 1535
132 1663
133 1826
134 1478
134 1490
135 1461
135 1681
136 1480
136 2187
136 2214
137 1482
137 1501
137 1530
138 1452
138 1486
138 1589
139 1523
139 2012
140 1545
141 1572
141 1580
141 1678
143 2244
144 1510
144 1693
144 1805
145 1816
146 1803
147 2036
148 2128
