i s
0 678
1 750
2 671
3 747
5 613
5 660
7 645
7 679
7 803
9 737
9 744
11 738
10 757
10 770
12 692
12 731
15 710
16 760
16 783
17 783
18 737
19 826
19 865
19 938
21 850
22 789
22 820
22 821
22 904
23 800
23 829
23 886
24 958
25 862
26 821
26 827
28 894
29 1093
29 783
30 1164
30 905
30 949
31 1014
31 882
32 987
34 1058
35 893
35 964
36 1030
36 1038
36 970
38 890
38 936
38 940
39 897
39 914
39 922
40 941
40 946
40 960
41 963
43 922
44 1045
44 1068
44 985
46 928
47 934
47 942
49 965
49 987
50 1025
50 948
51 1008
51 1020
51 1038
52 1275
52 952
53 1143
54 1162
55 1041
56 1018
57 1125
58 1047
58 1085
59 1010
60 1049
61 1114
61 1286
62 1126
63 1063
63 1067
65 1096
68 1139
68 1144
69 1131
70 1207
71 1223
71 1284
72 1123
73 1232
74 1175
74 1502
75 1153
75 1179
75 1301
76 1146
76 1214
76 1388
77 1157
78 1189
78 1192
78 1196
80 1186
81 1224
81 1251
82 1221
83 1213
84 1339
86 1253
86 1282
89 1216
89 1260
89 1393
89 1394
89 1399
91 1317
92 1350
92 1779
93 1252
93 1260
94 1344
94 1373
94 1551
95 1287
95 1306
95 1368
96 1277
97 1346
97 1379
98 1368
98 1383
98 1401
98 1421
99 1372
99 1402
99 1514
100 1305
102 1376
103 1324
103 1443
105 1472
106 1430
106 1459
108 1373
108 1420
109 1482
109 1508
111 1402
112 1559
112 1638
112 1699
113 1493
113 1530
113 1538
114 1647
116 1525
116 1568
116 1592
116 1610
116 1761
117 1516
117 1574
117 1644
117 2042
118 1703
119 1670
120 1616
121 1649
121 1695
121 1749
122 1819
123 1715
123 1780
124 1748
124 1870
125 1795
125 1861
126 2012
127 1694
127 1779
128 1792
128 1813
128 1823
129 1779
129 1782
129 1875
129 1994
130 1774
130 2279
131 1963
132 1985
132 2042
132 2079
133 1893
133 2148
134 1829
134 1870
134 1980
135 1822
135 1856
135 1941
135 2004
135 2125
136 1880
136 1899
136 2052
137 1943
138 1848
138 1907
139 2001
139 2079
139 2194
139 2316
140 1855
140 1878
140 1896
140 1933
142 1977
142 2165
143 1876
143 1904
143 1989
143 2081
144 1879
144 1927
144 2047
145 2497
146 2216
146 2256
147 2381
148 2227
149 2293
149 2398
149 2450
149 2763
